date, pm25, pm10, o3, no2, so2, co
2018/4/28, 83, 46, , 21, , 3
2018/4/29, 86, 39, , 19, , 3
2018/4/30, 71, 45, , 15, , 2
2018/5/1, 73, 38, , 13, , 2
2018/5/2, 57, 48, , 13, , 2
2018/5/3, 67, 59, , 22, , 3
2018/5/4, 72, 47, , 18, , 2
2018/5/5, 52, 29, , 13, , 2
2018/5/6, 43, 40, , 20, , 2
2018/5/7, 49, 41, , 16, , 2
2018/5/8, 51, 46, , 21, , 2
2018/5/9, 64, 43, , 20, , 2
2018/5/10, 67, 45, , 19, , 2
2018/5/11, 69, 38, , 15, , 2
2018/5/12, 52, 40, , 11, , 2
